Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Gujarat,"Calendar Year (Jan - Dec), 2012",,7110,5.2,600.62,11.8,
India,Haryana,"Calendar Year (Jan - Dec), 2012",,2827,2.1,259.94,10.9,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2012",,528,0.4,68.78,7.7,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2012",,404.94452006029987897740,0.3,116.5340341062418540612740,3.5,
India,Jharkhand,"Calendar Year (Jan - Dec), 2012",,1319,1.0,320.5,4.1,
India,Karnataka,"Calendar Year (Jan - Dec), 2012",,12753,9.4,602.29,21.2,
India,Kerala,"Calendar Year (Jan - Dec), 2012",,8490,6.3,348.82,24.3,
India,Ladakh,"Calendar Year (Jan - Dec), 2012",,9.05547993970012102260,0.3,2.6059658937581459387260,3.5,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2012",,1,0.0,0.77,1.3,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2012",,9775,7.2,737.3,13.3,
India,Maharashtra,"Calendar Year (Jan - Dec), 2012",,16112,11.9,1146.97,14.0,
India,Manipur,"Calendar Year (Jan - Dec), 2012",,41,0.0,24.87,1.6,
India,Meghalaya,"Calendar Year (Jan - Dec), 2012",,128,0.1,26.61,4.8,
India,Mizoram,"Calendar Year (Jan - Dec), 2012",,173,0.1,10.2,17.0,
India,Nagaland,"Calendar Year (Jan - Dec), 2012",,30,0.0,22.84,1.3,
India,Odisha,"Calendar Year (Jan - Dec), 2012",,5027,3.7,412.24,12.2,
